Input,Quest,Environment,Response
"Где я могу найти руду?", "Поиск руды", "солнечно, 25°C", "Вы можете найти руду в горах на севере."
"Что мне нужно для завершения квеста?", "Поиск руды", "солнечно, 25°C", "Вам нужно найти 10 кусочков руды и вернуться ко мне."
"Какая сегодня погода?", "Общий разговор", "солнечно, 25°C", "Сегодня солнечно и тепло, идеальная погода для путешествий."
"Какие у меня есть квесты?", "Информация о квестах", "облачно, 20°C", "У вас есть следующие квесты: Поиск руды, Сбор трав."
"Что ты знаешь о Поиске руды?", "Поиск руды", "дождливо, 18°C", "Поиск руды - это квест, в котором вам нужно найти и собрать руду."
"Как мне добраться до деревни?", "Направления", "солнечно, 30°C", "Чтобы добраться до деревни, следуйте по дороге на юг."
"Кто такой главный герой?", "Информация о персонажах", "облачно, 22°C", "Главный герой - это вы, отважный искатель приключений."
"Какие предметы мне нужны для крафта?", "Крафт", "ветрено, 15°C", "Для крафта вам нужны дерево и камень."
"Как я могу улучшить свое оружие?", "Улучшение", "солнечно, 27°C", "Для улучшения оружия вам нужно найти кузнеца в деревне."
"Где находится ближайший торговец?", "Торговля", "облачно, 19°C", "Ближайший торговец находится в деревне на востоке."
